EmployeeID,Age,DistanceFromHome,Education,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition_Yes,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
1,51,6,2,1,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,31,10,1,1,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
3,32,17,4,4,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False
4,38,2,5,3,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
5,32,10,1,1,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
6,46,8,3,4,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
7,28,11,2,2,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True
8,29,18,3,2,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False
9,31,1,3,3,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
10,25,7,4,4,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
11,45,17,2,2,79910,0.0,13,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False
13,55,14,4,1,55380,0.0,17,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
14,47,1,1,1,57620,1.0,11,2,10.0,4,10,9,9,1.0,2.0,2.0,2,3,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
15,28,1,3,1,25920,1.0,14,0,5.0,2,5,0,4,4.0,4.0,2.0,3,3,False,False,True,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
16,37,1,3,2,53460,4.0,11,0,7.0,2,5,0,1,3.0,4.0,4.0,3,3,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
17,21,3,2,1,42130,1.0,12,3,3.0,3,3,1,0,4.0,3.0,4.0,2,3,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True
18,37,1,3,2,41270,2.0,13,1,15.0,2,5,0,2,1.0,4.0,3.0,3,3,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
19,35,7,4,1,24380,7.0,16,0,10.0,5,7,6,2,2.0,2.0,2.0,2,3,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
20,38,8,3,1,68700,1.0,11,1,8.0,5,8,7,7,1.0,1.0,3.0,3,3,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
21,26,1,4,2,104470,1.0,18,0,6.0,3,6,1,4,3.0,2.0,1.0,3,3,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False
22,50,8,4,1,96670,3.0,23,0,28.0,2,10,1,6,1.0,2.0,2.0,2,4,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
23,53,11,4,2,21480,3.0,11,0,21.0,2,5,1,3,3.0,3.0,2.0,3,3,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
25,29,16,4,1,65130,1.0,11,1,10.0,2,10,0,9,2.0,4.0,2.0,3,3,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
26,55,1,4,1,67990,3.0,11,0,12.0,2,10,0,8,2.0,4.0,3.0,3,3,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False
27,26,9,3,1,162910,1.0,22,0,5.0,3,5,3,3,1.0,1.0,3.0,3,4,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
28,37,5,1,1,27050,1.0,11,0,17.0,2,17,5,7,4.0,4.0,3.0,3,3,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True
29,44,1,2,2,103330,3.0,14,1,19.0,2,1,0,0,4.0,3.0,1.0,2,3,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
